"","PARK","BOROUGH","SIZE","CATEGORY","MURDER","RAPE","ROBBERY","FELONY_ASSAULT","BURGLARY","GRAND_LARCENY","GRAND_LARCENY__MOTOR","TOTAL","Year","Quarter"
"1","PELHAM BAY PARK","BRONX        ",2771.747,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"2","VAN CORTLANDT PARK","BRONX        ",1146.43,"ONE ACRE OR LARGER",0,0,0,0,1,0,0,1,2015,"Q1"
"3","ROCKAWAY BEACH AND BOARDWALK","QUEENS       ",1072.564,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2015,"Q1"
"4","FRESHKILLS PARK","STATEN ISLAND",913.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"5","FLUSHING MEADOWS CORONA PARK","QUEENS       ",897.69,"ONE ACRE OR LARGER",0,0,0,1,1,1,1,4,2015,"Q1"
"6","LATOURETTE PARK & GOLF COURSE","STATEN ISLAND",843.97,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"7","MARINE PARK","BROOKLYN     ",798,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"8","BELT PARKWAY/SHORE PARKWAY","BROOKLYN/QUEENS",760.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"9","BRONX PARK","BRONX        ",718.373,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"10","FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH","STATEN ISLAND",644.35,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"11","ALLEY POND PARK","QUEENS       ",635.514,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"12","PROSPECT PARK","BROOKLYN     ",526.25,"ONE ACRE OR LARGER",0,0,1,0,0,1,0,2,2015,"Q1"
"13","FOREST PARK","QUEENS       ",506.86,"ONE ACRE OR LARGER",0,0,1,0,0,1,0,2,2015,"Q1"
"14","GRAND CENTRAL PARKWAY","QUEENS       ",460.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"15","FERRY POINT PARK","BRONX        ",413.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"16","CONEY ISLAND BEACH & BOARDWALK","BROOKLYN     ",399.203,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"17","CUNNINGHAM PARK","QUEENS       ",358,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"18","RICHMOND PARKWAY","STATEN ISLAND",350.983,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"19","CROSS ISLAND PARKWAY","QUEENS       ",326.895,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"20","GREAT KILLS PARK","STATEN ISLAND",315.094,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"21","WOLFE'S POND PARK","STATEN ISLAND",302.693,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"22","CONFERENCE HOUSE PARK","STATEN ISLAND",286.382,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"23","RANDALL'S ISLAND PARK","MANHATTAN    ",256.111,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"24","ROCKAWAY COMMUNITY PARK","QUEENS       ",255.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"25","KISSENA PARK","QUEENS       ",237.147,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"26","RIVERSIDE PARK","MANHATTAN    ",235.765,"ONE ACRE OR LARGER",0,0,0,0,0,2,0,2,2015,"Q1"
"27","HUTCHINSON RIVER PARKWAY","BRONX        ",229.14,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"28","BLUE HERON PARK","STATEN ISLAND",217.45,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"29","DYKER BEACH PARK","BROOKLYN     ",216.655,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"30","WILLOWBROOK PARK","STATEN ISLAND",214.947,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"31","STATEN ISLAND INDUSTRIAL PARK","STATEN ISLAND",210.928,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"32","SILVER LAKE PARK","STATEN ISLAND",205.977,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"33","BRONX RIVER PARKWAY","BRONX        ",205.647,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"34","SOUNDVIEW PARK","BRONX        ",205.31,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"35","BELT PARKWAY","QUEENS       ",202.647,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"36","WILLOWBROOK PARKWAY","STATEN ISLAND",198.481,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"37","INWOOD HILL PARK","MANHATTAN    ",196.398,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"38","CLOVE LAKES PARK","STATEN ISLAND",193.423,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"39","FORT WASHINGTON PARK","MANHATTAN    ",184.143,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"40","IDLEWILD PARK","QUEENS       ",180.85,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"41","WARDS ISLAND PARK","MANHATTAN    ",176.581,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"42","SOUTH SHORE COUNTRY CLUB","STATEN ISLAND",173.994,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"43","SAW MILL CREEK MARSH","STATEN ISLAND",171.778,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"44","BLOOD ROOT VALLEY","STATEN ISLAND",161.242,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"45","JAMAICA BAY PARK","QUEENS       ",149.54,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"46","KISSENA CORRIDOR PARK","QUEENS       ",146.81,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"47","HIGHLAND PARK","BROOKLYN/QUEENS",146.339,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"48","ARDEN WOODS","STATEN ISLAND",145.864,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"49","RIVERDALE PARK","BRONX        ",144.29,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"50","OCEAN PARKWAY MALLS","BROOKLYN     ",140,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"51","BLOOMINGDALE PARK","STATEN ISLAND",138.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"52","OCEAN BREEZE PARK","STATEN ISLAND",136.568,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"53","CANARSIE PARK","BROOKLYN     ",132.2,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2015,"Q1"
"54","HIGHBRIDGE PARK MANHATTAN SIDE","MANHATTAN    ",130.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"55","CROTONA PARK","BRONX        ",127.5,"ONE ACRE OR LARGER",0,1,1,0,0,0,0,2,2015,"Q1"
"56","PAERDEGAT BASIN PARK","BROOKLYN     ",118.795,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,2015,"Q1"
"57","HOOK CREEK PARK","QUEENS       ",111.163,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"58","CRESCENT BEACH PARK","STATEN ISLAND",110.96,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"59","CLEARVIEW PARK GOLF COURSE","QUEENS       ",110.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"60","BAISLEY POND PARK","QUEENS       ",109.609,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2015,"Q1"
"61","PELHAM PARKWAY","BRONX        ",108.91,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"62","PRALLS ISLAND","STATEN ISLAND",107.514,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"63","MARINERS MARSH PARK","STATEN ISLAND",107.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"64","DOUGLASTON PARK GOLF COURSE","QUEENS       ",104.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"65","LEMON CREEK PARK","STATEN ISLAND",104.545,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"66","SPRING CREEK PARK","BROOKLYN/QUEENS",99.566,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"67","HIGH ROCK PARK","STATEN ISLAND",94.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"68","LONG POND PARK","STATEN ISLAND",91.948,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"69","BROOKVILLE PARK","QUEENS       ",89.946,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"70","ISLE OF MEADOWS","STATEN ISLAND",87.516,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"71","CALVERT VAUX PARK","BROOKLYN     ",85.527,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"72","PUGSLEY CREEK PARK","BRONX        ",83.615,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"73","SNUG HARBOR CULTURAL CENTER","STATEN ISLAND",83.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"74","MOSHOLU PARKWAY","BRONX        ",80.936,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"75","MCGUIRE FIELDS","BROOKLYN     ",77.181,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"76","FRESH CREEK NATURE PRESERVE","BROOKLYN     ",77.044,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"77","JACKIE ROBINSON PARKWAY","BROOKLYN/QUEENS",72.75,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"78","FORT TRYON PARK","MANHATTAN    ",67.213,"ONE ACRE OR LARGER",0,1,1,0,0,0,0,2,2015,"Q1"
"79","RIVERSIDE PARK SOUTH","MANHATTAN    ",66.693,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"80","EASTERN PARKWAY","BROOKLYN     ",65.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"81","FOUR SPARROW MARSH","BROOKLYN     ",64.665,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"82","FORT TOTTEN PARK","QUEENS       ",60.394,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"83","ASTORIA PARK","QUEENS       ",59.956,"ONE ACRE OR LARGER",1,0,0,0,0,1,0,2,2015,"Q1"
"84","LAURELTON PARKWAY","QUEENS       ",59.612,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"85","RED HOOK RECREATION AREA","BROOKLYN     ",58.503,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"86","SHORE PARK AND PARKWAY","BROOKLYN     ",58,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"87","SPRING CREEK PARK ADDITION","BROOKLYN/QUEENS",57.921,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"88","JUNIPER VALLEY PARK","QUEENS       ",55.639,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"89","LITTLE BAY PARK","QUEENS       ",55.22,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"90","POWELL'S COVE PARK","QUEENS       ",55.023,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"91","HENRY HUDSON PARKWAY","BRONX        ",54.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"92","HARLEM RIVER PARK","MANHATTAN    ",53.967,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"93","DUBOS POINT WILDLIFE SANCTUARY","QUEENS       ",53.298,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"94","ROY WILKINS RECREATION CENTER","QUEENS       ",53.238,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,2015,"Q1"
"95","REED'S BASKET WILLOW SWAMP PARK","STATEN ISLAND",52.375,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"96","BROOKLYN BOTANIC GARDEN","BROOKLYN     ",47.57,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"97","MEREDITH WOODS","STATEN ISLAND",47.521,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"98","QUEENS FARM PARK","QUEENS       ",47.08,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"99","EAST RIVER PARK","MANHATTAN    ",45.88,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"100","CROCHERON PARK","QUEENS       ",45.79,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"101","MACOMBS DAM PARK","BRONX        ",44.174,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,2015,"Q1"
"102","MANHATTAN BEACH PARK","BROOKLYN     ",42.941,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"103","UDALL'S PARK PRESERVE","QUEENS       ",42.768,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"104","FAIRVIEW PARK","STATEN ISLAND",42.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"105","BAYSWATER PARK","QUEENS       ",40.07,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"106","DEERE PARK","STATEN ISLAND",39.779,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"107","PARADE GROUND","BROOKLYN     ",39.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"108","CLAREMONT PARK","BRONX        ",38.536,"ONE ACRE OR LARGER",0,0,0,1,0,0,0,1,2015,"Q1"
"109","BROAD CHANNEL WETLANDS","QUEENS       ",37.95,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"110","CONEY ISLAND BOAT BASIN","BROOKLYN     ",36.81,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"111","BUNKER PONDS PARK","STATEN ISLAND",36.691,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"112","SETON FALLS PARK","BRONX        ",35.771,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"113","MCCARREN PARK","BROOKLYN     ",35.713,"ONE ACRE OR LARGER",0,0,2,0,0,2,0,4,2015,"Q1"
"114","ST. MARY'S PARK BRONX","BRONX        ",35.311,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"115","SHOOTERS ISLAND","STATEN ISLAND",34.689,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"116","NORTH BROTHER ISLAND","BRONX        ",30.395,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"117","FORT GREENE PARK","BROOKLYN     ",30.168,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"118","BATTERY PARK CITY","MANHATTAN    ",29.99,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"119","MORNINGSIDE PARK","MANHATTAN    ",29.888,"ONE ACRE OR LARGER",0,0,3,0,1,0,0,4,2015,"Q1"
"120","MACNEIL PARK","QUEENS       ",28.87,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"121","ALLEY ATHLETIC PLAYGROUND","QUEENS       ",27.531,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"122","VERNAM BARBADOES PENINSULA","QUEENS       ",27.484,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"123","COLLEGE POINT FIELDS","QUEENS       ",26.83,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"124","KAISER PARK","BROOKLYN     ",26.257,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"125","SUNSET PARK","BROOKLYN     ",24.498,"ONE ACRE OR LARGER",0,0,0,1,0,0,0,1,2015,"Q1"
"126","OWL'S HEAD PARK","BROOKLYN     ",24.218,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"127","SPRINGFIELD PARK","QUEENS       ",23.543,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"128","RECREATIONAL AREA","MANHATTAN    ",23.093,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"129","KING FISHER PARK","STATEN ISLAND",23.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"130","SIEDENBURG PARK","STATEN ISLAND",22.882,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"131","ST. NICHOLAS PARK","MANHATTAN    ",22.74,"ONE ACRE OR LARGER",0,0,3,0,0,0,0,3,2015,"Q1"
"132","SOUTH BROTHER ISLAND","BRONX        ",22.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"133","LOCUST POINT MARINA","BRONX        ",22.07,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"134","BATTERY PARK","MANHATTAN    ",21.88,"ONE ACRE OR LARGER",0,1,0,0,0,0,0,1,2015,"Q1"
"135","BROOKLYN BRIDGE PARK","BROOKLYN     ",21.185,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"136","ASSER LEVY PARK","BROOKLYN     ",21.039,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"137","SEASIDE WILDLIFE NATURE PARK","STATEN ISLAND",20.907,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"138","WAVE HILL","BRONX        ",20.867,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"139","QUEENSBRIDGE PARK","QUEENS       ",20.34,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"140","MARCUS GARVEY PARK","MANHATTAN    ",20.165,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,2015,"Q1"
"141","ISHAM PARK","MANHATTAN    ",20.132,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"142","WILLIAMSBRIDGE OVAL","BRONX        ",19.749,"ONE ACRE OR LARGER",0,0,0,2,0,0,0,2,2015,"Q1"
"143","BRANT POINT WILDLIFE SANCTUARY","QUEENS       ",19.556,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"144","BROAD CHANNEL AMERICAN PARK","QUEENS       ",18.768,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"145","THEODORE ROOSEVELT PARK","MANHATTAN    ",17.574,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"146","BENSONHURST PARK","BROOKLYN     ",17.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"147","LINCOLN TERRACE / ARTHUR S. SOMERS PARK","BROOKLYN     ",17.14,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"148","JOHN GOLDEN PARK","QUEENS       ",17,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"149","BAYVIEW TERRACE PARK","STATEN ISLAND",16.944,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"150","JONES WOODS PARK","STATEN ISLAND",16.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"151","FRANCIS LEWIS PARK","QUEENS       ",16.831,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"152","LEIF ERICSON PARK","BROOKLYN     ",16.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"153","EIBS POND PARK","STATEN ISLAND",16.505,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"154","RAILROAD PARK QUEENS","QUEENS       ",16.439,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"155","BREUKELEN BALLFIELDS","BROOKLYN     ",16.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"156","FRANZ SIGEL PARK","BRONX        ",15.99,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"157","THOMAS JEFFERSON PARK","MANHATTAN    ",15.524,"ONE ACRE OR LARGER",0,0,0,1,0,1,0,2,2015,"Q1"
"158","ALICE AUSTEN PARK","STATEN ISLAND",15.524,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"159","MILL POND PARK","BRONX        ",15.496,"ONE ACRE OR LARGER",0,0,0,0,0,0,1,1,2015,"Q1"
"160","SHERMAN CREEK","MANHATTAN    ",15.383,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"161","HARRIS PARK","BRONX        ",15.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"162","GOODHUE","STATEN ISLAND",15.064,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"163","MULLALY PARK","BRONX        ",15.049,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2015,"Q1"
"164","TREMONT PARK","BRONX        ",15,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"165","CARL SCHURZ PARK","MANHATTAN    ",14.938,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"166","GRAND ARMY PLAZA BROOKLYN","BROOKLYN     ",14.257,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"167","VON BRIESEN PARK","STATEN ISLAND",13.938,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"168","MOTOR PARKWAY","QUEENS       ",13.894,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"169","UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET","QUEENS       ",13.826,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"170","BEACH 17 PLAYGROUND","QUEENS       ",13.75,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"171","TUDOR PARK","QUEENS       ",13.543,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"172","AQUEDUCT WALK","BRONX        ",13.533,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"173","FATHER MACRIS PARK","STATEN ISLAND",13.469,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"174","STARLIGHT PARK","BRONX        ",12.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"175","JACKIE ROBINSON PARK MANHATTAN","MANHATTAN    ",12.772,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"176","BROOKLYN MUSEUM","BROOKLYN     ",12.66,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"177","BEACH CHANNEL PARK","QUEENS       ",12.624,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"178","GREENBELT NATIVE PLANT CENTER","STATEN ISLAND",12.247,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"179","BOWNE PARK","QUEENS       ",11.788,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"180","SETON PARK","BRONX        ",11.689,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"181","RUFUS KING PARK","QUEENS       ",11.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"182","FRANK GOLDEN PARK","QUEENS       ",11.422,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"183","ST. JAMES PARK","BRONX        ",11.39,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,2015,"Q1"
"184","RICHMOND TERRACE WETLANDS","STATEN ISLAND",11.193,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"185","BARRETTO POINT PARK","BRONX        ",11.161,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"186","ST. ALBANS PARK","QUEENS       ",10.79,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"187","GEMINI FIELDS","QUEENS       ",10.761,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"188","GIVANS CREEK WOODS","BRONX        ",10.735,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"189","BETSY HEAD PARK","BROOKLYN     ",10.555,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"190","TOMPKINS SQUARE PARK","MANHATTAN    ",10.502,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2015,"Q1"
"191","CPL. THOMPSON PARK","STATEN ISLAND",10.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"192","COMMODORE BARRY PARK","BROOKLYN     ",10.391,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"193","CADMAN PLAZA PARK","BROOKLYN     ",10.384,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"194","BROADWAY MALLS","MANHATTAN    ",10.242,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"195","STEEPLECHASE PARK","BROOKLYN     ",10.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"196","HUNTER'S POINT SOUTH PARK","QUEENS       ",10,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
"197","UNNAMED PARK ON RICHMOND TERRACE","STATEN ISLAND",9.934,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2015,"Q1"
